split,filename,issue_type,action_taken,reason
train,00002841_jpg.rf.1ab3d668633a4735e3e7261784481900.jpg,none,KEEP,No issues found
train,00002868_jpg.rf.ff7cd22faa237afb3101a4cf1c40b739.jpg,none,KEEP,No issues found
train,00003812_jpg.rf.90d554976390631cdbc2ca2df9e903d0.jpg,none,KEEP,No issues found
train,00003928_jpg.rf.5ab1fae20b1c7ff1446632e6e5e4d6e9.jpg,none,KEEP,No issues found
train,00003929_jpg.rf.5cae0ab74988415c8b873e6e74ca6a9f.jpg,none,KEEP,No issues found
train,00003930_jpg.rf.e15505c025d45e433b215bef439fafeb.jpg,none,KEEP,No issues found
train,00004388_jpg.rf.148d7435bba1419d8ee1f291441ff7b3.jpg,none,KEEP,No issues found
train,00004515_jpg.rf.053441765bd145dffe80b947db2f2d2f.jpg,none,KEEP,No issues found
train,00004755_jpg.rf.58afbaa40aa5b8b170c74580fdcb2c01.jpg,none,KEEP,No issues found
train,00004756_jpg.rf.017b3ecbed90a497992e0aa55fff58f5.jpg,none,KEEP,No issues found
train,00065518_jpg.rf.9ac28e401d4c2aadf3fc4947caf2ed6f.jpg,none,KEEP,No issues found
train,00065838_jpg.rf.f0eb40a0a0d21e276b95ee587a9c2465.jpg,none,KEEP,No issues found
train,006664_jpg.rf.7fd0e409711f5f4af390358b12574aac.jpg,none,KEEP,No issues found
train,006719_jpg.rf.c10458f121aeff4f3215163ec1ca533d.jpg,none,KEEP,No issues found
train,006784_jpg.rf.42a6a15b65e3788270cc356e20799241.jpg,none,KEEP,No issues found
train,006823_jpg.rf.00c42e3c3b4c8d2cfbbbc134a0cfe8a3.jpg,none,KEEP,No issues found
train,006867_jpg.rf.8bfd5a3700f118f115de06e325e516c5.jpg,none,KEEP,No issues found
train,006880_jpg.rf.f073fef101f57e4a587563deafaa0e06.jpg,none,KEEP,No issues found
train,006989_jpg.rf.ce1ac5830515988d0a2d8f5965e6f721.jpg,none,KEEP,No issues found
train,006999_jpg.rf.d103ed5e4398520ec504b3c4787fe861.jpg,none,KEEP,No issues found
train,007000_jpg.rf.27834ad0491e9f05116797fd1e1087f3.jpg,none,KEEP,No issues found
train,007007_jpg.rf.ffc83677ce748b82c3f43052fcd8f283.jpg,none,KEEP,No issues found
train,007064_jpg.rf.11aff8d149e78b7a6d7a28a50bdbd5aa.jpg,none,KEEP,No issues found
train,128_jpg.rf.703e784d2b527b9901d8a4be7a48ffa4.jpg,none,KEEP,No issues found
train,2021_09_28-22_25_55_639341_jpg.rf.414c68b112928072eb8d09e523663fc2.jpg,none,KEEP,No issues found
train,2021_09_28-22_25_58_040776_jpg.rf.67cdcb08aab9310cb42d69af7f7dc95b.jpg,none,KEEP,No issues found
train,2021_09_28-22_26_01_922690_jpg.rf.1c49403bc01716d9d5d8a1291b13a52d.jpg,none,KEEP,No issues found
train,2021_09_28-22_26_03_243096_jpg.rf.3fd3ccc1ec3de80d26a85399d23c4d02.jpg,none,KEEP,No issues found
train,2021_09_28-22_29_19_317072_jpg.rf.333d96fa4c49b859c7823e0437e766ea.jpg,none,KEEP,No issues found
train,2021_09_28-22_29_20_681084_jpg.rf.ba33d9d3aebf2710070bd89e301d095b.jpg,none,KEEP,No issues found
train,2021_09_28-22_31_08_991115_jpg.rf.f2c0c8e5c1b5136666b05984baccda65.jpg,none,KEEP,No issues found
train,2021_09_28-22_33_30_091529_jpg.rf.eb6350be0e0a68a741614c85f02b5728.jpg,none,KEEP,No issues found
train,2021_09_28-22_36_07_293747_jpg.rf.ef1861d90c2a622ac5023cef4fe8bba8.jpg,none,KEEP,No issues found
train,2021_09_28-22_40_03_028590_jpg.rf.a67ec1e638885dda4a275c9f7e7dc259.jpg,none,KEEP,No issues found
train,2021_09_28-22_46_44_348174_jpg.rf.8642b728a44fde3a783af2c70402817b.jpg,none,KEEP,No issues found
train,2021_09_28-22_49_12_867216_jpg.rf.277d2313c1a7c766c53a9f3484c2c276.jpg,none,KEEP,No issues found
train,2021_09_28-22_49_19_026139_jpg.rf.e01d9f1945894dd2107fdd99224b283a.jpg,none,KEEP,No issues found
train,20230712_141333_jpeg_jpg.rf.8c8cfb2131d5e61a6034748d74bf4244.jpg,none,KEEP,No issues found
train,20230712_141333_jpeg_jpg.rf.ac02a3e833e22a8d1b381ca9b4cce60c.jpg,none,KEEP,No issues found
train,20230712_141333_jpeg_jpg.rf.c6be29164cae850f58411b4b78899fb1.jpg,none,KEEP,No issues found
train,20230712_141333_jpeg_jpg.rf.ed5767bc2d30eff60c4c41aa0f51e7d9.jpg,none,KEEP,No issues found
train,20230712_141336_jpeg_jpg.rf.1a45a8603acc946f3f41586b744bc3e6.jpg,none,KEEP,No issues found
train,20230712_141336_jpeg_jpg.rf.3bd7f74f52f845cc042a86113fa22fab.jpg,none,KEEP,No issues found
train,20230712_141336_jpeg_jpg.rf.5b8b1a5ce9974bfb699a07cba8ec511c.jpg,none,KEEP,No issues found
train,20230712_141336_jpeg_jpg.rf.784d32e1e7214ede415ff186307990f9.jpg,none,KEEP,No issues found
train,20230712_141424_jpeg_jpg.rf.29d706a2a5a82b6120b34461d7f1914c.jpg,none,KEEP,No issues found
train,20230712_141424_jpeg_jpg.rf.73a0d513f8bcd445492de9eef62cbe4e.jpg,none,KEEP,No issues found
train,20230712_141424_jpeg_jpg.rf.7d8a76b68335a01483c41ae618c3033b.jpg,none,KEEP,No issues found
train,20230712_141427_jpeg_jpg.rf.761128fb785e3f0e84f24397ad2d172a.jpg,none,KEEP,No issues found
train,20230712_141427_jpeg_jpg.rf.c0250386531314400bd30a75eef184e3.jpg,none,KEEP,No issues found
train,20230712_141546_jpeg_jpg.rf.009d497c13d53d48c37dced25ab5e828.jpg,none,KEEP,No issues found
train,20230712_141546_jpeg_jpg.rf.2c410cb79521af42dff8a6b43b69d321.jpg,none,KEEP,No issues found
train,20230712_141546_jpeg_jpg.rf.3fcaa506e5bcbf0a01eda383d7265770.jpg,none,KEEP,No issues found
train,20230712_141546_jpeg_jpg.rf.56ab4b4cbe2e22582013ec4fe2e609a2.jpg,none,KEEP,No issues found
train,20230712_141546_jpeg_jpg.rf.95aa22293091ae42ac2483da46d56253.jpg,none,KEEP,No issues found
train,20230712_141546_jpeg_jpg.rf.f0bef092edf77dfedf8af7b43412c85f.jpg,none,KEEP,No issues found
train,20230712_141549_jpeg_jpg.rf.359a350bc755aed241c50d3c469fddc2.jpg,none,KEEP,No issues found
train,20230712_141549_jpeg_jpg.rf.90ea5dcf26a83f3ce10009e530421ae6.jpg,none,KEEP,No issues found
train,20230712_141552_jpeg_jpg.rf.015bfa40d3d292429c7442a12c6a7406.jpg,none,KEEP,No issues found
train,20230712_141552_jpeg_jpg.rf.0af9e50811101c0d64c9e4ea988293d7.jpg,none,KEEP,No issues found
train,20230712_141552_jpeg_jpg.rf.2a71853a0346d2b8ef85c8eaa2fdd23d.jpg,none,KEEP,No issues found
train,20230712_141552_jpeg_jpg.rf.5de768d66b927e8a497d2b4c9be1697b.jpg,none,KEEP,No issues found
train,20230712_141631_jpeg_jpg.rf.51b824a7bcf11aa4e4a31d7836034229.jpg,none,KEEP,No issues found
train,20230712_141631_jpeg_jpg.rf.bf8dbe7f06a769f3a1410a0039c22361.jpg,none,KEEP,No issues found
train,20230712_141631_jpeg_jpg.rf.da91135337efeee52f7de51dc76604b6.jpg,none,KEEP,No issues found
train,20230712_141650_jpeg_jpg.rf.48010f91b4305442d7ef0f812c880759.jpg,none,KEEP,No issues found
train,20230712_141650_jpeg_jpg.rf.8e5dbfda42591802dcebdbc16f087d10.jpg,none,KEEP,No issues found
train,20230712_141652_jpeg_jpg.rf.1d12a41b4622928acf60a42aa12d18c1.jpg,none,KEEP,No issues found
train,20230712_141652_jpeg_jpg.rf.5097f89227a696fbdabc4056728716a7.jpg,none,KEEP,No issues found
train,20230712_141652_jpeg_jpg.rf.5972658776426bc877b973286355430b.jpg,none,KEEP,No issues found
train,20230712_141652_jpeg_jpg.rf.728a4189a920ae0082b4cc594df3b600.jpg,none,KEEP,No issues found
train,20230712_141652_jpeg_jpg.rf.79b9268d1c683880ceb3421b36d8682e.jpg,none,KEEP,No issues found
train,20230712_141654_jpeg_jpg.rf.12924bf47c465060a2abebf5fcc016f9.jpg,none,KEEP,No issues found
train,20230712_141654_jpeg_jpg.rf.34d69be42402189bd9c67051d44b0ca0.jpg,none,KEEP,No issues found
train,20230712_141654_jpeg_jpg.rf.a8a46bc2954acc1321b957ac3c6f93a2.jpg,none,KEEP,No issues found
train,20230712_141654_jpeg_jpg.rf.f50527452e605e3e16adae678b62e472.jpg,none,KEEP,No issues found
train,20230712_141654_jpeg_jpg.rf.fbf6317fa5385e80ccc928b90ab4ff2b.jpg,none,KEEP,No issues found
train,20230712_141841_jpeg_jpg.rf.08f639ae9222dcf5f438ac2fd4b6eaab.jpg,none,KEEP,No issues found
train,20230712_141841_jpeg_jpg.rf.1ea46f06120a235bd97845093dbec7d8.jpg,none,KEEP,No issues found
train,20230712_141841_jpeg_jpg.rf.9937e8173263350794cc104f47defbcb.jpg,none,KEEP,No issues found
train,20230712_141844_jpeg_jpg.rf.52abef527720b2b39adf9d10e5419e2c.jpg,none,KEEP,No issues found
train,20230712_141844_jpeg_jpg.rf.77c9dbb1b6abd3d50663d6e2ec9c040f.jpg,none,KEEP,No issues found
train,20230712_141844_jpeg_jpg.rf.a882543e015dd0e6953129090fcc33bb.jpg,none,KEEP,No issues found
train,20230712_141855_jpeg_jpg.rf.2b4ae88c86410a8196451151397db121.jpg,none,KEEP,No issues found
